Name,Price
Apple MacBook Air 13'' M1 (8GB/256GB) - Space Gray (2020),3769
Asus X515MA-BR414 - Grey,1399
Apple MacBook Air 13'' M1 (8GB/256GB) - Gold (2020),3769
HP 240 G8 (203B6EA) - Black,1999
Acer Aspire 3 (NX.HE3ER.00Q) - Black,1399
Acer Aspire 3 (NX.HS5ER.01G) - Black,1799
Asus TUF Gaming F15 (FX506HCB-HN144) - Graphite Black,3599
Lenovo V14-ADA (82C6006ERU) - Iron Grey,1199
Asus ROG Flow X13 Touch + XG Mobile GC31S with RTX 3080 (GV301QH-K6231T) - Black,8999
HP 255 G8 (2W1D4EA) Black,1349
Lenovo V15 ADA (82C70015RU) - Iron Grey,1799
Lenovo IdeaPad 3 15IGL05 (81WQ0008RE) - Platinum Grey,1499
Acer Aspire 3 (NX.HE3ER.00N) - Black,1199
Asus VivoBook 14 (X415FA-EB014) - Grey,1399
Apple MacBook Air 13'' M1 (8GB/256GB) - Silver (2020),3769
HP 15-dw1002ur (13F97EA) - Silver,1399
HP 255 G7 (214F5ES) - Black,999
Acer Aspire 3 (NX.HS6ER.006) - Blue,1799
"Dell Vostro 3400 14"" (N4011VN3400EMEA01) - Black",2599
Acer Aspire 3 (NX.HS5ER.00C) - Black,1799
Lenovo V14 G2 ITL (82KA001FRU) - Black,1599
Toshiba Dynabook Satellite Pro C40-G-11L - Black,999
Acer Aspire 3 (NX.HZRER.00U) - Black,2199
Lenovo IdeaPad 3 15IGL05 (81WQ0006RE) - Platinum Grey,1099
Lenovo ThinkBook 15 G3 ACL (21A4003XRU) - Mineral Grey,3199
Lenovo ThinkBook 15 G2 ITL (20VE0054RU) - Mineral Grey,2599
Lenovo ThinkBook 15 G2 ARE (20VG006GRU) - Mineral Grey,2999
Lenovo V14-ADA (82C600LURU) - Iron Grey,1499
HP 250 G8 (2W9A0EA) - Silver,1999
Asus X515JA-EJ2148 - Silver,3399
Asus 11.6'' E210MA-GJ365 - Black/Blue,999
